id_municipio,numero_obitos,numero_suicidios,populacao
2404200,70,1,17783
2404309,34,0,12751
2404408,27,0,8961
2404507,32,1,9677
2404606,25,0,11094
2404705,26,0,12414
2404804,8,1,2051
2404853,19,0,7350
2404903,16,0,5544
2405009,20,0,8282
2405108,24,0,6627
2405207,24,1,5312
2405306,29,0,8447
2405405,13,0,6517
2405504,8,0,2841
2405603,46,1,13500
2405702,37,0,12190
2405801,68,3,31757
2405900,11,0,2553
2406007,21,2,6187
2406106,60,2,19267
2406155,8,0,3148
2406205,10,0,6041
2406304,19,0,7390
2406403,11,0,3156
2406502,39,1,12998
2406601,25,0,7309
2406700,31,0,9925
2406809,25,0,4582
2406908,16,0,3404
2407005,32,0,9573
2407104,121,4,63333
2407203,77,1,25489
2407252,16,0,3095
2407302,34,1,8048
2407401,34,0,7551
2407500,32,1,9506
2407609,15,0,3943
2407708,32,1,13666
2407807,51,1,21094
2407906,14,0,2378
2408003,301,6,229787
2408102,615,13,789896
2408201,39,3,22814
2408300,73,0,36629
2408409,26,0,4376
2408508,25,0,4757
2408607,8,0,3724
2408706,15,0,4154
2408805,19,1,4580
2408904,61,2,20608
2408953,22,0,10447
2409100,29,1,9664
2409209,8,0,2870
2409308,42,0,10750
2409332,10,0,4479
2409407,64,4,27663
2409506,21,1,4407
2409605,3,0,2948
2409704,31,0,5463
2409803,48,0,14081
2409902,42,0,11657
2410009,11,0,3624
2410108,26,0,13596
2410207,16,1,7034
2410256,10,1,4909
2410306,31,0,7752
2410405,19,0,7079
2410504,15,0,4923
2410603,12,0,2934
2410702,8,1,2748
2410801,12,0,4363
2410900,22,1,5719
2411007,20,1,3883
2411056,15,1,4067
2411106,7,0,3968
2411205,99,1,33245
2411403,33,0,17150
2411429,9,1,2279
2411502,63,2,20765
2411601,17,0,3527
2411700,7,0,3248
2411809,13,0,3034
2411908,16,0,3986
2412005,142,4,87493
2412104,34,0,5857
2412203,81,1,39909
2412302,46,0,12097
2412401,15,1,4220
2412500,80,0,21406
2412559,20,0,8878
2412609,40,0,15368
2412708,22,0,6596
2412807,35,0,8466
2412906,53,0,10305
2413003,25,0,6116
2413102,21,0,5559
2413201,11,0,3774
2413300,15,1,5557
2413359,31,1,8400
2413409,29,2,7571
2413508,23,0,7621
2413557,15,0,4263
2413607,17,0,10714
2413706,16,0,4336
2413805,12,0,1998
2413904,34,0,12330
2414001,43,1,13526
2414100,27,0,8392
2414159,20,1,5174
2414209,20,0,9068
2414308,20,0,2377
2414407,63,1,32801
2414456,17,0,3728
2414506,37,1,11098
2414605,24,0,12727
2414704,10,0,4873
2414753,13,0,3810
2414803,43,0,8930
2414902,7,1,1678
2415008,10,0,2699
2500106,28,0,8506
2500205,27,2,4440
2500304,70,1,28460
2500403,48,0,19146
2500502,44,1,12967
2500536,21,0,5475
2500577,11,1,2385
2500601,77,1,17868
2500700,50,0,17838
2500734,6,0,2078
2500775,33,0,7254
2500809,57,1,17892
2500908,49,1,12740
2501005,52,3,17456
2501104,56,1,24654
2501153,18,0,2340
2501203,30,0,6012
2501302,54,1,19118
2501351,19,0,3307
2501401,27,1,7314
2501500,68,0,20814
2501534,13,0,3682
2501575,27,1,8463
